Trade_Time,Price_USD,Volume_BTC,Symbol
2025-09-30 01:00:31.457,114449.0,0.002,BTCUSDT
2025-09-30 01:00:31.457,114448.5,0.001,BTCUSDT
2025-09-30 01:00:31.457,114448.5,0.002,BTCUSDT
2025-09-30 01:00:31.457,114448.1,0.002,BTCUSDT
2025-09-30 01:00:31.457,114448.0,0.002,BTCUSDT
2025-09-30 01:00:31.457,114447.6,0.001,BTCUSDT
2025-09-30 01:00:31.463,114447.4,0.002,BTCUSDT
2025-09-30 01:00:31.463,114447.4,0.001,BTCUSDT
2025-09-30 01:00:31.463,114447.4,0.001,BTCUSDT
2025-09-30 01:00:31.463,114447.3,0.002,BTCUSDT
2025-09-30 01:00:31.463,114446.3,0.002,BTCUSDT
2025-09-30 01:00:31.463,114446.2,0.002,BTCUSDT
2025-09-30 01:00:31.496,114445.8,0.001,BTCUSDT
2025-09-30 01:00:31.496,114445.8,0.001,BTCUSDT
2025-09-30 01:00:31.496,114445.8,0.001,BTCUSDT
2025-09-30 01:00:31.496,114445.8,0.001,BTCUSDT
2025-09-30 01:00:31.496,114445.8,0.001,BTCUSDT
2025-09-30 01:00:31.496,114445.8,0.001,BTCUSDT
2025-09-30 01:00:31.496,114445.8,0.001,BTCUSDT
2025-09-30 01:00:31.496,114445.8,0.001,BTCUSDT
2025-09-30 01:00:31.496,114445.8,0.001,BTCUSDT
2025-09-30 01:00:31.496,114445.8,0.001,BTCUSDT
2025-09-30 01:00:31.496,114445.8,0.001,BTCUSDT
2025-09-30 01:00:31.496,114445.8,0.001,BTCUSDT
2025-09-30 01:00:31.496,114445.8,0.001,BTCUSDT
2025-09-30 01:00:31.496,114445.4,0.002,BTCUSDT
2025-09-30 01:00:31.496,114445.2,0.001,BTCUSDT
2025-09-30 01:00:31.496,114445.0,0.001,BTCUSDT
2025-09-30 01:00:31.507,114444.9,0.001,BTCUSDT
2025-09-30 01:00:31.507,114444.9,0.001,BTCUSDT
